hanzi,pinyin,translation_eng,example_sentence_1_hanzi,example_sentence_1_pinyin,example_sentence_1_eng,example_sentence_2_hanzi,example_sentence_2_pinyin,example_sentence_2_eng
昨天,zuótiān,"yesterday","我昨天去看电影了。","wǒ zuótiān qù kàn diànyǐng le.","I went to watch a movie yesterday.","昨天天气很好。","zuótiān tiānqì hěn hǎo.","The weather was very good yesterday."
站,zhàn,"station; to stand; to halt; to stop; branch of a company or organization; website","请站起来。","qǐng zhàn qǐlai.","Please stand up.","火车站离这里远吗？","huǒchē zhàn lí zhèlǐ yuǎn ma?","Is the train station far from here?"
而已,éryǐ,"that's all; nothing more","我只是开个玩笑而已。","wǒ zhǐshì kāi ge wánxiào éryǐ.","I was just joking, that's all.","这不过是小事而已。","zhè bùguò shì xiǎo shì éryǐ.","This is just a small matter, nothing more."
样子,yàngzi,"appearance; manner; pattern; model","他是什么样子的？","tā shì shénme yàngzi de?","What does he look like?","这件衣服的样子很好看。","zhè jiàn yīfu de yàngzi hěn hǎokàn.","The style of this piece of clothing is very nice."
光,guāng,"light; ray; CL:道[dao4]; bright; only; merely; to use up","房间里的光线很好。","fángjiān lǐ de guāngxiàn hěn hǎo.","The light in the room is very good.","他把钱都花光了。","tā bǎ qián dōu huā guāng le.","He spent all the money."
忘,wàng,"to forget; to overlook; to neglect","我忘了带钱包。","wǒ wàng le dài qiánbāo.","I forgot to bring my wallet.","别忘了给我打电话。","bié wàng le gěi wǒ dǎ diànhuà.","Don't forget to call me."
正,zhèng,"straight; upright; proper; main; principal; to correct; to rectify; exactly; just (at that time); right (in that place); (math.) positive","请坐正。","qǐng zuò zhèng.","Please sit upright.","他正在看书。","tā zhèngzài kàn shū.","He is reading a book right now."
搞,gǎo,"to do; to make; to go in for; to set up; to get hold of; to take care of","你在搞什么？","nǐ zài gǎo shénme?","What are you doing/up to?","我们得先把卫生搞好。","wǒmen děi xiān bǎ wèishēng gǎo hǎo.","We have to get the sanitation done well first."
聊,liáo,"to chat; to depend upon (literary); temporarily; just; slightly","我们聊得很开心。","wǒmen liáo de hěn kāixīn.","We had a very happy chat.","有空我们聊聊吧。","yǒu kòng wǒmen liáoliao ba.","Let's chat when we have time."
将,jiāng,"will; shall; to use; to take; to checkmate; just a short while ago; (introduces object of main verb, used in the same way as 把[ba3])","会议将于明天上午举行。","huìyì jiāng yú míngtiān shàngwǔ jǔxíng.","The meeting will be held tomorrow morning.","请将这本书交给他。","qǐng jiāng zhè běn shū jiāo gěi tā.","Please give this book to him."
感觉,gǎnjué,"to feel; to become aware of; feeling; sense; perception; CL:個|个[ge4]","我觉得有点冷。","wǒ gǎnjué yǒudiǎn lěng.","I feel a bit cold.","你感觉怎么样？","nǐ gǎnjué zěnmeyàng?","How do you feel?"
掉,diào,"to fall; to drop; to lag behind; to lose; to go missing; to reduce; fall (in prices); to lose (value, weight etc); to wag; to swing; to turn; to change; to exchange; to swap; to show off; to shed (hair); (used after certain verbs to express completion, fulfillment, removal etc)","我的钥匙掉了。","wǒ de yàoshi diào le.","My keys dropped/are lost.","请把错误的部分删掉。","qǐng bǎ cuòwù de bùfen shāndiào.","Please delete the incorrect part."
美,měi,"beautiful; very satisfactory; good; to beautify; to be pleased with oneself","这里的风景很美。","zhèlǐ de fēngjǐng hěn měi.","The scenery here is beautiful.","她长得很美。","tā zhǎng de hěn měi.","She is very beautiful."
女儿,nǚ'ér,"daughter","她是我唯一的女儿。","tā shì wǒ wéiyī de nǚ'ér.","She is my only daughter.","我女儿喜欢画画。","wǒ nǚ'ér xǐhuan huà huà.","My daughter likes to draw."
各位,gèwèi,"everybody; all (guests, colleagues etc); all of you","各位来宾，大家好！","gèwèi láibīn, dàjiā hǎo!","Dear guests, hello everyone!","请各位注意安全。","qǐng gèwèi zhùyì ānquán.","Everyone, please pay attention to safety."
求,qiú,"to seek; to look for; to request; to demand; to beseech","我求你帮帮我。","wǒ qiú nǐ bāngbang wǒ.","I beg you to help me.","他向老师求教。","tā xiàng lǎoshī qiújiào.","He sought advice from the teacher."
听说,tīngshuō,"to hear (sth said); one hears (that); hearsay; listening and speaking","我听说他要出国了。","wǒ tīngshuō tā yào chūguó le.","I heard that he is going abroad.","你听说过这件事吗？","nǐ tīngshuō guo zhè jiàn shì ma?","Have you heard about this matter?"
非常,fēicháng,"very; very much; unusual; extraordinary","我非常喜欢这本书。","wǒ fēicháng xǐhuan zhè běn shū.","I like this book very much.","今天的表演非常精彩。","jīntiān de biǎoyǎn fēicháng jīngcǎi.","Today's performance was extraordinary."
信,xìn,"letter; mail; CL:封[feng1]; to trust; to believe; to profess faith in; truthful; confidence; trust; at will; at random","我收到一封信。","wǒ shōudào yī fēng xìn.","I received a letter.","我相信你。","wǒ xiāngxìn nǐ.","I trust you."
外面,wàimiàn,"outside (also pr. [wai4 mian5] for this sense); surface; exterior; external appearance","外面正在下雨。","wàimiàn zhèngzài xià yǔ.","It's raining outside.","请在外面等一下。","qǐng zài wàimiàn děng yīxià.","Please wait outside for a moment."
反正,fǎnzhèng,"anyway; in any case; to come over from the enemy's side","不管你怎么说，反正我不去。","bùguǎn nǐ zěnme shuō, fǎnzhèng wǒ bù qù.","No matter what you say, anyway, I'm not going.","反正时间还早，我们再聊会儿吧。","fǎnzhèng shíjiān hái zǎo, wǒmen zài liáo huìr ba.","Anyway, it's still early, let's chat a bit more."
所,suǒ,"actually; place; classifier for houses, small buildings, institutions etc; that which; particle introducing a relative clause or passive; CL:個|个[ge4]","众所周知，地球是圆的。","zhòng suǒ zhōu zhī, dìqiú shì yuán de.","As everyone knows, the Earth is round.","这是我所有的钱。","zhè shì wǒ suǒ yǒu de qián.","This is all the money I have."
时,shí,"o'clock; time; when; hour; season; period","现在是什么时间？","xiànzài shì shénme shíjiān?","What time is it now?","我上学时，他已经是老师了。","wǒ shàngxué shí, tā yǐjīng shì lǎoshī le.","When I was in school, he was already a teacher."
起,qǐ,"to rise; to raise; to get up; to set out; to start; to appear; to launch; to initiate (action); to draft; to establish; to get (from a depot or counter); verb suffix, to start; starting from (a time, place, price etc); classifier for occurrences or unpredictable events: case, instance; classifier for groups: batch, group","请站起来。","qǐng zhàn qǐlai.","Please stand up.","他早上起得很早。","tā zǎoshang qǐ de hěn zǎo.","He gets up very early in the morning."
听到,tīngdào,"to hear","你听到我说话了吗？","nǐ tīngdào wǒ shuōhuà le ma?","Did you hear me speaking?","我听到有人敲门。","wǒ tīngdào yǒu rén qiāo mén.","I heard someone knocking on the door."
管,guǎn,"to take care (of); to control; to manage; to be in charge of; to look after; to run; to care about; tube; pipe; woodwind; classifier for tube-shaped objects; particle similar to 把[ba3] in 管...叫 constructions; writing brush; (coll.) to; towards","你别管我！","nǐ bié guǎn wǒ!","Leave me alone! / Don't bother me!","他负责管这个部门。","tā fùzé guǎn zhège bùmén.","He is in charge of managing this department."
谢,xiè,"to thank; to apologize; to wither (of flowers, leaves etc); to decline","多谢你的帮助。","duō xiè nǐ de bāngzhù.","Many thanks for your help.","花儿谢了。","huār xiè le.","The flowers have withered."
组,zǔ,"to form; to organize; group; team; classifier for sets, series, groups of people, batteries","我们分成两个小组。","wǒmen fēn chéng liǎng ge xiǎo zǔ.","We divided into two small groups.","他组织了一次活动。","tā zǔzhī le yī cì huódòng.","He organized an activity."
注意,zhùyì,"to take note of; to pay attention to","请注意安全。","qǐng zhùyì ānquán.","Please pay attention to safety.","我没注意到他来了。","wǒ méi zhùyì dào tā lái le.","I didn't notice that he had arrived."
场,chǎng,"large place used for a specific purpose; stage; scene (of a play); classifier for sporting or recreational activities; classifier for number of exams","足球场上有很多观众。","zúqiú chǎng shàng yǒu hěn duō guānzhòng.","There are many spectators on the football field.","昨天我看了一场电影。","zuótiān wǒ kàn le yī chǎng diànyǐng.","I watched a movie yesterday."
替,tì,"to substitute for; to take the place of; to replace; for; on behalf of; to stand in for","你能替我去开会吗？","nǐ néng tì wǒ qù kāihuì ma?","Can you attend the meeting for me?","我替他感到高兴。","wǒ tì tā gǎndào gāoxìng.","I feel happy for him."
再说,zàishuō,"to say again; to put off a discussion until later; moreover; what's more; besides","这件事以后再说吧。","zhè jiàn shì yǐhòu zàishuō ba.","Let's talk about this matter later.","外面太冷了，再说我也不想出去。","wàimiàn tài lěng le, zàishuō wǒ yě bù xiǎng chūqù.","It's too cold outside; besides, I don't want to go out either."
进去,jìnqù,"to go in","他走进去了。","tā zǒu jìnqù le.","He went in.","请不要进去。","qǐng bùyào jìnqù.","Please don't go in."
原来,yuánlái,"original; former; originally; formerly; at first; so, actually, as it turns out","原来是你！","yuánlái shì nǐ!","So it was you!","他原来住在这里。","tā yuánlái zhù zài zhèlǐ.","He originally lived here."
兄弟,xiōngdì,"brothers; younger brother; CL:個|个[ge4]; I, me (humble term used by men in public speech); brotherly; fraternal","他们是亲兄弟。","tāmen shì qīn xiōngdì.","They are blood brothers.","好兄弟，谢谢你！","hǎo xiōngdì, xièxie nǐ!","Good brother, thank you!"
家里,jiālǐ,"home","我喜欢待在家里。","wǒ xǐhuan dāi zài jiālǐ.","I like staying at home.","他家里有很多人。","tā jiālǐ yǒu hěn duō rén.","There are many people in his home."
药,yào,"medicine; drug; substance used for a specific purpose (e.g. poisoning, explosion, fermenting); CL:種|种[zhong3],服[fu4],味[wei4]; to poison","你该吃药了。","nǐ gāi chī yào le.","You should take your medicine.","这种药效果很好。","zhè zhǒng yào xiàoguǒ hěn hǎo.","This medicine is very effective."
百,bǎi,"hundred; numerous; all kinds of","这个要一百块钱。","zhège yào yī bǎi kuài qián.","This costs one hundred yuan.","成百上千的人参加了活动。","chéng bǎi shàng qiān de rén cānjiā le huódòng.","Hundreds and thousands of people participated in the activity."
向,xiàng,"towards; to face; to turn towards; direction; to support; to side with; shortly before; formerly; always; all along; (suffix) suitable for ...; oriented to ...","请向这边看。","qǐng xiàng zhèbiān kàn.","Please look towards this side.","他向老师请教问题。","tā xiàng lǎoshī qǐngjiào wèntí.","He asked the teacher for advice on a problem."
一切,yīqiè,"everything; every; all","一切都会好起来的。","yīqiè dōu huì hǎo qǐlai de.","Everything will get better.","他负责公司的一切事务。","tā fùzé gōngsī de yīqiè shìwù.","He is responsible for all the company's affairs."
消息,xiāoxi,"news; information; CL:條|条[tiao2]","你听到这个消息了吗？","nǐ tīngdào zhège xiāoxi le ma?","Have you heard this news?","这是一个好消息。","zhè shì yī ge hǎo xiāoxi.","This is good news."
十,shí,"ten; 10","我有十个手指头。","wǒ yǒu shí ge shǒuzhǐtou.","I have ten fingers.","现在是十点钟。","xiànzài shì shí diǎn zhōng.","It's ten o'clock now."
条,tiáo,"strip; item; article; clause (of law or treaty); classifier for long thin things (ribbon, river, road, trousers etc)","这条裤子很合身。","zhè tiáo kùzi hěn héshēn.","This pair of trousers fits well.","河里有几条鱼。","hé lǐ yǒu jǐ tiáo yú.","There are several fish in the river."
花,huā,"flower; blossom; CL:朵[duo3],支[zhi1],束[shu4],把[ba3],盆[pen2],簇[cu4]; fancy pattern; florid; to spend (money, time); (coll.) lecherous; lustful","这朵花真漂亮。","zhè duǒ huā zhēn piàoliang.","This flower is really beautiful.","他花了很多钱。","tā huā le hěn duō qián.","He spent a lot of money."
